latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,cluster
-8.27245,123.50804,348.94,0.39,0.36,2024-01-01,513,N,VIIRS,n,2,307.75,10.97,D,1,0
-5.17522,123.0119,335.65,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,299.92,4.15,D,0,1
-4.92454,120.19463,336.39,0.48,0.4,2024-01-01,514,N,VIIRS,n,2,298.14,27.74,D,0,1
-4.92509,120.19567,330.04,0.47,0.4,2024-01-01,514,N,VIIRS,n,2,296.65,28.09,D,0,1
-4.2033,122.23872,343.18,0.4,0.37,2024-01-01,514,N,VIIRS,n,2,297.58,10.42,D,0,1
-3.96983,122.28599,342.6,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,296.82,5.13,D,0,1
-3.9031,122.42035,342.45,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,301.34,6.44,D,2,1
-3.90363,122.41682,329.15,0.39,0.36,2024-01-01,514,N,VIIRS,l,2,300.06,3.74,D,2,1
-3.87065,122.40832,341.96,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,302.19,6.5,D,2,1
-3.87118,122.40479,344.25,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,301.65,4.8,D,2,1
-3.87171,122.40127,334.33,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,301.12,4.8,D,2,1
-3.86941,122.39372,338.36,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,300.71,4.95,D,2,1
-3.83542,122.38086,336.13,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,297.23,10.31,D,0,1
-3.83595,122.37736,330.14,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,296.27,5.76,D,0,1
-2.82804,122.17562,338.81,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,299.53,6.21,D,2,1
-2.73891,122.02827,331.41,0.39,0.36,2024-01-01,514,N,VIIRS,n,2,299.85,2.54,D,0,1
-2.81707,121.18304,334.55,0.41,0.37,2024-01-01,514,N,VIIRS,n,2,297.62,15.63,D,0,1
-2.57725,121.38488,332.93,0.41,0.37,2024-01-01,514,N,VIIRS,n,2,301.92,24.73,D,2,1
-2.57383,121.38441,347.88,0.41,0.37,2024-01-01,514,N,VIIRS,n,2,292.92,24.73,D,2,1
-2.41394,121.84844,334.59,0.39,0.37,2024-01-01,514,N,VIIRS,n,2,295.57,3.12,D,0,1
-2.57837,120.21204,328.6,0.45,0.39,2024-01-01,514,N,VIIRS,n,2,295.3,4.07,D,0,1
-2.54964,120.20885,344.03,0.45,0.39,2024-01-01,514,N,VIIRS,n,2,295.65,10.58,D,0,1
-2.29566,121.72428,331.98,0.4,0.37,2024-01-01,514,N,VIIRS,n,2,296.93,2.53,D,0,1
-2.47573,120.34499,333.73,0.44,0.38,2024-01-01,514,N,VIIRS,n,2,296.23,5.98,D,0,1
-2.66969,118.89293,327.33,0.52,0.42,2024-01-01,514,N,VIIRS,n,2,296.28,2.08,D,0,1
-2.12622,121.43851,335.44,0.4,0.37,2024-01-01,514,N,VIIRS,n,2,299.06,5.51,D,0,1
-2.00906,121.43111,335.42,0.4,0.37,2024-01-01,515,N,VIIRS,n,2,299.69,5.41,D,0,1
-2.00566,121.43064,335.17,0.4,0.37,2024-01-01,515,N,VIIRS,n,2,298.16,5.41,D,0,1
-2.00226,121.43015,332.41,0.4,0.37,2024-01-01,515,N,VIIRS,n,2,297.07,3.75,D,0,1
-1.99887,121.42966,330.81,0.4,0.37,2024-01-01,515,N,VIIRS,n,2,297.09,3.75,D,0,1
-1.58569,122.10525,337.68,0.39,0.36,2024-01-01,515,N,VIIRS,n,2,300.68,4.96,D,0,1
-1.58235,122.10475,333.64,0.39,0.36,2024-01-01,515,N,VIIRS,n,2,300.23,4.88,D,0,1
